itrial,dataname,method,alpha,coverage,width
0,green_house,ARIMA,0.05,0.7480916030534351,117.64814561311387
0,green_house,ExpSmoothing,0.05,0.9007633587786259,149.42047603722008
0,green_house,DynamicFactor,0.05,0.9351145038167938,139.5701398153768
0,green_house,ARIMA,0.1,0.6870229007633588,98.73343619691944
0,green_house,ExpSmoothing,0.1,0.8549618320610687,125.39761643034142
0,green_house,DynamicFactor,0.1,0.9198473282442748,117.13095368092765
0,green_house,ARIMA,0.15000000000000002,0.6335877862595419,86.40883681715762
0,green_house,ExpSmoothing,0.15000000000000002,0.8358778625954199,109.74460722484191
0,green_house,DynamicFactor,0.15000000000000002,0.9045801526717557,102.50984724837416
0,green_house,ARIMA,0.2,0.5763358778625954,76.92598761159739
0,green_house,ExpSmoothing,0.2,0.8015267175572519,97.70079782096329
0,green_house,DynamicFactor,0.2,0.9007633587786259,91.26000916065342
0,green_house,ARIMA,0.25,0.5229007633587787,69.0504889252806
0,green_house,ExpSmoothing,0.25,0.7786259541984732,87.69842373672023
0,green_house,DynamicFactor,0.25,0.8664122137404581,81.91702761991829
